transaction_id,transaction_date,customer_id,product_id,store_id,quantity,unit_price,discount_amount,gross_sales,net_sales,unit_cost,cost_amount,profit_amount,gross_margin_pct,payment_method,sales_channel,category,source_row_id,unit_price_raw,customer_id_raw,product_id_raw,store_id_raw,review_reason
T001388,2024-12-18 00:00:00.000000,C04291,P0230,S004,1,1026.3,51.32,1026.3,974.98,805.78,805.78,169.2,17.35,Mada,E-commerce,Fashion,1388,,,,,Manual/source-system review required
T001518,2025-05-13 00:00:00.000000,C02317,P0103,S002,1,653.47,32.67,653.47,620.8,456.88,456.88,163.92,26.4,Mada,Store,Grocery,1518,,,,,Manual/source-system review required
T001699,2025-02-14 00:00:00.000000,C01204,P0025,S015,2,57.02,5.7,114.04,108.34,40.72,81.44,26.9,24.83,Card,Store,Beauty,1699,,,,,Manual/source-system review required
T001750,2024-10-28 00:00:00.000000,C03051,P0445,S011,3,2173.39,0.0,6520.17,6520.17,1849.52,5548.56,971.61,14.9,Cash,Store,Home & Living,1750,,,,,Manual/source-system review required
T002111,2025-01-14 00:00:00.000000,C02190,P0475,S006,2,3311.66,0.0,6623.32,6623.32,2280.86,4561.72,2061.6,31.13,STC Pay,Store,Sports,2111,,,,,Manual/source-system review required
T002277,2024-07-31 00:00:00.000000,C01187,P0138,S007,2,3871.77,0.0,7743.54,7743.54,2940.5,5881.0,1862.54,24.05,Apple Pay,Store,Home & Living,2277,,,,,Manual/source-system review required
T002340,2025-09-11 00:00:00.000000,C03370,P0415,S018,1,3326.45,665.29,3326.45,2661.16,2456.0,2456.0,205.16,7.71,Card,Store,Grocery,2340,,,,,Manual/source-system review required
T002449,2024-08-08 00:00:00.000000,C04019,P0143,S002,1,2247.59,0.0,2247.59,2247.59,1655.17,1655.17,592.42,26.36,Mada,E-commerce,Fashion,2449,,,,,Manual/source-system review required
T002620,2025-11-11 00:00:00.000000,C04449,P0410,S007,1,948.22,94.82,948.22,853.4,697.52,697.52,155.88,18.27,Cash,Store,Sports,2620,,,,,Manual/source-system review required
T002663,2024-01-20 00:00:00.000000,C02326,P0329,S007,5,1355.29,0.0,6776.45,6776.45,1010.3,5051.5,1724.95,25.46,Card,E-commerce,Grocery,2663,,,,,Manual/source-system review required
T002757,2024-09-27 00:00:00.000000,C03938,P0313,S005,3,2855.22,856.57,8565.66,7709.09,1977.81,5933.43,1775.66,23.03,Card,Store,Sports,2757,,,,,Manual/source-system review required
T002875,2025-02-25 00:00:00.000000,C00221,P0155,S020,3,2512.41,753.72,7537.23,6783.51,1760.91,5282.73,1500.78,22.12,Card,E-commerce,Beauty,2875,,,,,Manual/source-system review required
T002889,2024-06-12 00:00:00.000000,C03185,P0326,S018,2,2104.41,210.44,4208.82,3998.38,1448.25,2896.5,1101.88,27.56,Cash,Store,Beauty,2889,,,,,Manual/source-system review required
T003065,2025-04-06 00:00:00.000000,C02115,P0351,S018,5,2464.59,1232.3,12322.95,11090.65,1762.32,8811.6,2279.05,20.55,Apple Pay,Store,Home Appliances,3065,,,,,Manual/source-system review required
T003283,2024-07-14 00:00:00.000000,C00004,P0005,S015,2,878.33,0.0,1756.66,1756.66,563.06,1126.12,630.54,35.89,Cash,E-commerce,Electronics,3283,,,,,Manual/source-system review required
T003290,2024-02-21 00:00:00.000000,C04827,P0366,S018,1,3493.67,174.68,3493.67,3318.99,2609.32,2609.32,709.67,21.38,STC Pay,Store,Fashion,3290,,,,,Manual/source-system review required
T003586,2024-11-26 00:00:00.000000,C04410,P0175,S019,2,3434.94,0.0,6869.88,6869.88,2256.5,4513.0,2356.88,34.31,Cash,Store,Fashion,3586,,,,,Manual/source-system review required
T003734,2024-08-07 00:00:00.000000,C04387,P0227,S014,3,3018.59,0.0,9055.77,9055.77,2055.89,6167.67,2888.1,31.89,Card,Store,Beauty,3734,,,,,Manual/source-system review required
T003916,2024-07-13 00:00:00.000000,C03445,P0328,S019,2,2037.39,0.0,4074.78,4074.78,1504.62,3009.24,1065.54,26.15,STC Pay,Store,Home & Living,3916,,,,,Manual/source-system review required
T003924,2025-10-15 00:00:00.000000,C02547,P0330,S006,2,1584.82,158.48,3169.64,3011.16,1221.72,2443.44,567.72,18.85,Apple Pay,Store,Electronics,3924,,,,,Manual/source-system review required
T003983,2024-05-01 00:00:00.000000,C01278,P0039,S002,3,575.15,0.0,1725.45,1725.45,358.15,1074.45,651.0,37.73,Mada,Store,Beauty,3983,,,,,Manual/source-system review required
T004130,2025-02-11 00:00:00.000000,C03521,P0290,S005,6,1008.67,302.6,6052.02,5749.42,864.36,5186.16,563.26,9.8,Apple Pay,E-commerce,Beauty,4130,,,,,Manual/source-system review required
T004378,2024-11-09 00:00:00.000000,C01539,P0179,S014,4,1803.07,0.0,7212.28,7212.28,1327.46,5309.84,1902.44,26.38,Card,E-commerce,Home Appliances,4378,,,,,Manual/source-system review required
T004473,2025-06-07 00:00:00.000000,C03613,P0482,S015,3,2560.22,768.07,7680.66,6912.59,2114.77,6344.31,568.28,8.22,Mada,E-commerce,Sports,4473,,,,,Manual/source-system review required
T004529,2024-01-03 00:00:00.000000,C04042,P0239,S015,3,2598.78,0.0,7796.34,7796.34,1877.53,5632.59,2163.75,27.75,Card,Store,Beauty,4529,,,,,Manual/source-system review required
T004578,2025-07-15 00:00:00.000000,C00219,P0165,S004,2,2534.18,0.0,5068.36,5068.36,2138.64,4277.28,791.08,15.61,Cash,E-commerce,Home Appliances,4578,,,,,Manual/source-system review required
T004615,2024-08-17 00:00:00.000000,C03812,P0155,S005,3,2481.5,0.0,7444.5,7444.5,1760.91,5282.73,2161.77,29.04,Card,Store,Beauty,4615,,,,,Manual/source-system review required
T004976,2024-07-14 00:00:00.000000,C00109,P0258,S002,1,57.68,0.0,57.68,57.68,48.27,48.27,9.41,16.31,Card,Store,Electronics,4976,,,,,Manual/source-system review required
T005060,2025-01-05 00:00:00.000000,C02913,P0463,S014,1,3253.81,0.0,3253.81,3253.81,2190.9,2190.9,1062.91,32.67,Apple Pay,Store,Home & Living,5060,,,,,Manual/source-system review required
T005429,2025-10-29 00:00:00.000000,C00679,P0074,S001,1,4050.31,0.0,4050.31,4050.31,2865.5,2865.5,1184.81,29.25,Mada,E-commerce,Fashion,5429,,,,,Manual/source-system review required
T005546,2024-05-16 00:00:00.000000,C02147,P0006,S010,3,1931.04,0.0,5793.12,5793.12,1711.75,5135.25,657.87,11.36,Card,E-commerce,Home Appliances,5546,,,,,Manual/source-system review required
T005874,2024-11-14 00:00:00.000000,C03776,P0490,S018,3,3467.24,0.0,10401.72,10401.72,2225.16,6675.48,3726.24,35.82,Card,Store,Sports,5874,,,,,Manual/source-system review required
T006092,2024-10-22 00:00:00.000000,C00006,P0071,S005,3,290.62,0.0,871.86,871.86,253.8,761.4,110.46,12.67,Card,Store,Grocery,6092,,,,,Manual/source-system review required
T006144,2024-10-27 00:00:00.000000,C04920,P0100,S001,4,2503.03,1001.21,10012.12,9010.91,1646.83,6587.32,2423.59,26.9,Mada,Store,Home Appliances,6144,,,,,Manual/source-system review required
T006210,2024-01-07 00:00:00.000000,C02387,P0329,S013,4,1377.8,275.56,5511.2,5235.64,1010.3,4041.2,1194.44,22.81,Cash,E-commerce,Grocery,6210,,,,,Manual/source-system review required
T006360,2024-06-22 00:00:00.000000,C01800,P0256,S012,4,1664.04,998.42,6656.16,5657.74,1264.17,5056.68,601.06,10.62,Apple Pay,Store,Fashion,6360,,,,,Manual/source-system review required
T006615,2024-07-17 00:00:00.000000,C04826,P0466,S015,1,3870.15,193.51,3870.15,3676.64,2525.3,2525.3,1151.34,31.32,Apple Pay,Store,Grocery,6615,,,,,Manual/source-system review required
T006813,2025-05-31 00:00:00.000000,C01438,P0106,S006,5,2696.06,674.02,13480.3,12806.28,2121.15,10605.75,2200.53,17.18,Card,Store,Grocery,6813,,,,,Manual/source-system review required
T006993,2024-09-20 00:00:00.000000,C04089,P0014,S009,3,1172.02,175.8,3516.06,3340.26,1006.08,3018.24,322.02,9.64,STC Pay,E-commerce,Fashion,6993,,,,,Manual/source-system review required
T007032,2025-05-18 00:00:00.000000,C03763,P0033,S013,5,1124.04,0.0,5620.2,5620.2,741.64,3708.2,1912.0,34.02,Apple Pay,Store,Beauty,7032,,,,,Manual/source-system review required
T007113,2024-09-04 00:00:00.000000,C03562,P0056,S002,2,4648.95,0.0,9297.9,9297.9,2891.59,5783.18,3514.72,37.8,Mada,Store,Grocery,7113,,,,,Manual/source-system review required
T007169,2025-03-19 00:00:00.000000,C02441,P0174,S005,3,2652.05,795.62,7956.15,7160.53,2170.36,6511.08,649.45,9.07,Cash,Store,Electronics,7169,,,,,Manual/source-system review required
T007237,2025-08-09 00:00:00.000000,C04959,P0400,S005,3,2557.04,767.11,7671.12,6904.01,1786.58,5359.74,1544.27,22.37,Cash,Store,Home & Living,7237,,,,,Manual/source-system review required
T007330,2024-06-21 00:00:00.000000,C02831,P0164,S010,1,1340.82,0.0,1340.82,1340.82,854.34,854.34,486.48,36.28,Cash,Store,Sports,7330,,,,,Manual/source-system review required
T007434,2025-04-17 00:00:00.000000,C03609,P0177,S011,4,2651.91,530.38,10607.64,10077.26,1773.15,7092.6,2984.66,29.62,Cash,E-commerce,Electronics,7434,,,,,Manual/source-system review required
T007636,2024-06-25 00:00:00.000000,C03035,P0059,S005,2,613.95,122.79,1227.9,1105.11,437.45,874.9,230.21,20.83,Card,Store,Grocery,7636,,,,,Manual/source-system review required
T007697,2025-10-25 00:00:00.000000,C01412,P0130,S004,2,2259.98,452.0,4519.96,4067.96,1570.52,3141.04,926.92,22.79,Card,E-commerce,Home Appliances,7697,,,,,Manual/source-system review required
T007862,2024-09-04 00:00:00.000000,C04902,P0194,S005,2,4241.46,1272.44,8482.92,7210.48,2769.05,5538.1,1672.38,23.19,Card,Store,Sports,7862,,,,,Manual/source-system review required
T008108,2024-07-16 00:00:00.000000,C02642,P0335,S004,2,1152.92,0.0,2305.84,2305.84,844.95,1689.9,615.94,26.71,Card,Store,Electronics,8108,,,,,Manual/source-system review required
T008194,2025-05-18 00:00:00.000000,C00214,P0206,S004,3,2154.17,646.25,6462.51,5816.26,1794.25,5382.75,433.51,7.45,Mada,Store,Fashion,8194,,,,,Manual/source-system review required
T008242,2024-08-14 00:00:00.000000,C01049,P0463,S002,1,3150.94,0.0,3150.94,3150.94,2190.9,2190.9,960.04,30.47,Card,Store,Home & Living,8242,,,,,Manual/source-system review required
T008393,2025-04-06 00:00:00.000000,C02205,P0295,S010,3,4437.36,0.0,13312.08,13312.08,2921.0,8763.0,4549.08,34.17,STC Pay,Store,Grocery,8393,,,,,Manual/source-system review required
T009106,2024-02-27 00:00:00.000000,C04223,P0178,S003,4,1529.5,305.9,6118.0,5812.1,1143.29,4573.16,1238.94,21.32,STC Pay,Store,Fashion,9106,,,,,Manual/source-system review required
T009176,2024-04-09 00:00:00.000000,C04997,P0433,S020,3,956.06,0.0,2868.18,2868.18,760.77,2282.31,585.87,20.43,Mada,Store,Home & Living,9176,,,,,Manual/source-system review required
T009275,2025-12-20 00:00:00.000000,C03189,P0225,S006,1,2935.86,293.59,2935.86,2642.27,2102.56,2102.56,539.71,20.43,Mada,Store,Grocery,9275,,,,,Manual/source-system review required
T009287,2024-08-26 00:00:00.000000,C00047,P0363,S003,2,2820.21,282.02,5640.42,5358.4,2262.23,4524.46,833.94,15.56,Mada,E-commerce,Fashion,9287,,,,,Manual/source-system review required
T009483,2025-12-22 00:00:00.000000,C00867,P0190,S013,4,3902.13,1560.85,15608.52,14047.67,2878.04,11512.16,2535.51,18.05,Card,Store,home appliances,9483,,,,,Manual/source-system review required
T009701,2025-06-21 00:00:00.000000,C00593,P0436,S018,2,3788.35,378.84,7576.7,7197.86,2408.58,4817.16,2380.7,33.08,Mada,Store,Beauty,9701,,,,,Manual/source-system review required
T009870,2024-11-15 00:00:00.000000,C00627,P0124,S010,4,1004.46,0.0,4017.84,4017.84,834.75,3339.0,678.84,16.9,Mada,Store,Fashion,9870,,,,,Manual/source-system review required
T009904,2024-01-26 00:00:00.000000,C00226,P0401,S002,4,662.55,0.0,2650.2,2650.2,587.17,2348.68,301.52,11.38,Mada,Store,Beauty,9904,,,,,Manual/source-system review required
T009993,2025-10-15 00:00:00.000000,C04666,P0271,S017,2,3575.04,357.5,7150.08,6792.58,2984.83,5969.66,822.92,12.11,Apple Pay,Store,Fashion,9993,,,,,Manual/source-system review required
T010006,2024-01-02 00:00:00.000000,C04667,P0475,S003,4,3340.48,668.1,13361.92,12693.82,2280.86,9123.44,3570.38,28.13,Card,Store,Sports,10006,,,,,Manual/source-system review required
T010194,2024-05-01 00:00:00.000000,C04227,P0147,S010,3,3726.4,1676.88,11179.2,9502.32,2422.48,7267.44,2234.88,23.52,Card,Store,Grocery,10194,,,,,Manual/source-system review required
T010745,2024-12-14 00:00:00.000000,C02376,P0418,S019,3,2874.1,862.23,8622.3,7760.07,1930.1,5790.3,1969.77,25.38,Mada,Store,Grocery,10745,,,,,Manual/source-system review required
T010818,2025-01-06 00:00:00.000000,C00269,P0162,S007,1,3763.66,0.0,3763.66,3763.66,2599.21,2599.21,1164.45,30.94,Cash,Store,Home & Living,10818,,,,,Manual/source-system review required
T010868,2024-07-30 00:00:00.000000,C01035,P0138,S018,1,4101.16,410.12,4101.16,3691.04,2940.5,2940.5,750.54,20.33,Card,Store,Home & Living,10868,,,,,Manual/source-system review required
T011099,2024-03-07 00:00:00.000000,C04379,P0248,S010,5,786.76,393.38,3933.8,3540.42,558.11,2790.55,749.87,21.18,Card,Store,Fashion,11099,,,,,Manual/source-system review required
T011204,2025-10-03 00:00:00.000000,C04886,P0149,S004,3,2715.11,0.0,8145.33,8145.33,2247.46,6742.38,1402.95,17.22,Cash,Store,Sports,11204,,,,,Manual/source-system review required
T011467,2024-10-11 00:00:00.000000,C03010,P0190,S007,4,3680.28,1472.11,14721.12,13249.01,2878.04,11512.16,1736.85,13.11,Card,Store,Home Appliances,11467,,,,,Manual/source-system review required
T011700,2025-11-26 00:00:00.000000,C03754,P0450,S004,3,4092.52,0.0,12277.56,12277.56,2828.1,8484.3,3793.26,30.9,Card,E-commerce,Beauty,11700,,,,,Manual/source-system review required
T011969,2024-05-09 00:00:00.000000,C00608,P0454,S006,5,531.42,0.0,2657.1,2657.1,381.73,1908.65,748.45,28.17,Cash,Store,Sports,11969,,,,,Manual/source-system review required
T011981,2024-02-20 00:00:00.000000,C04928,P0398,S001,5,1473.23,0.0,7366.15,7366.15,1043.81,5219.05,2147.1,29.15,Mada,Store,Fashion,11981,,,,,Manual/source-system review required
T012071,2024-05-15 00:00:00.000000,C03402,P0348,S008,1,467.53,46.75,467.53,420.78,353.52,353.52,67.26,15.98,STC Pay,Store,Sports,12071,,,,,Manual/source-system review required
T012540,2024-11-16 00:00:00.000000,C02716,P0407,S013,2,2565.01,0.0,5130.02,5130.02,1629.07,3258.14,1871.88,36.49,Card,Store,Home & Living,12540,,,,,Manual/source-system review required
T012737,2024-02-03 00:00:00.000000,C01903,P0277,S009,1,1111.09,0.0,1111.09,1111.09,858.55,858.55,252.54,22.73,Card,Store,Home Appliances,12737,,,,,Manual/source-system review required
T012801,2024-09-21 00:00:00.000000,C02331,P0070,S019,5,2566.73,0.0,12833.65,12833.65,2149.49,10747.45,2086.2,16.26,Cash,E-commerce,Home & Living,12801,,,,,Manual/source-system review required
T012809,2024-06-22 00:00:00.000000,C04681,P0166,S012,3,507.85,76.18,1523.55,1447.37,362.21,1086.63,360.74,24.92,Mada,Store,Home & Living,12809,,,,,Manual/source-system review required
T012854,2025-03-20 00:00:00.000000,C00101,P0412,S019,3,1282.06,192.31,3846.18,3653.87,853.52,2560.56,1093.31,29.92,Card,Store,Beauty,12854,,,,,Manual/source-system review required
T013023,2024-07-15 00:00:00.000000,C02360,P0204,S004,1,81.38,0.0,81.38,81.38,59.02,59.02,22.36,27.48,Apple Pay,Store,Beauty,13023,,,,,Manual/source-system review required
T013109,2024-10-18 00:00:00.000000,C03920,P0118,S009,4,1483.17,0.0,5932.68,5932.68,942.39,3769.56,2163.12,36.46,Card,Store,Home & Living,13109,,,,,Manual/source-system review required
T013139,2024-11-15 00:00:00.000000,C00391,P0196,S020,3,3679.89,0.0,11039.67,11039.67,2778.19,8334.57,2705.1,24.5,Apple Pay,Store,Grocery,13139,,,,,Manual/source-system review required
T013431,2024-12-17 00:00:00.000000,C03717,P0056,S011,3,4311.87,0.0,12935.61,12935.61,2891.59,8674.77,4260.84,32.94,Cash,Store,Grocery,13431,,,,,Manual/source-system review required
T013665,2025-07-03 00:00:00.000000,C00825,P0260,S003,5,371.07,0.0,1855.35,1855.35,293.26,1466.3,389.05,20.97,Card,Store,Sports,13665,,,,,Manual/source-system review required
T013753,2025-05-19 00:00:00.000000,C00392,P0471,S019,3,1832.53,824.64,5497.59,4672.95,1216.45,3649.35,1023.6,21.9,Card,Store,Electronics,13753,,,,,Manual/source-system review required
T013806,2025-01-24 00:00:00.000000,C02110,P0342,S017,5,1492.43,0.0,7462.15,7462.15,989.07,4945.35,2516.8,33.73,Card,Store,Electronics,13806,,,,,Manual/source-system review required
T014006,2024-05-06 00:00:00.000000,C01700,P0218,S011,4,350.54,0.0,1402.16,1402.16,274.82,1099.28,302.88,21.6,Mada,Store,Grocery,14006,,,,,Manual/source-system review required
T014472,2024-03-03 00:00:00.000000,C04929,P0481,S020,3,2193.02,328.95,6579.06,6250.11,1934.13,5802.39,447.72,7.16,Card,E-commerce,Home Appliances,14472,,,,,Manual/source-system review required
T014626,2024-03-11 00:00:00.000000,C04134,P0386,S018,1,1843.21,0.0,1843.21,1843.21,1244.86,1244.86,598.35,32.46,Cash,Store,Fashion,14626,,,,,Manual/source-system review required
T014766,2025-10-31 00:00:00.000000,C01247,P0106,S001,6,2751.93,0.0,16511.58,16511.58,2121.15,12726.9,3784.68,22.92,Card,Store,Grocery,14766,,,,,Manual/source-system review required
T014795,2024-05-23 00:00:00.000000,C01002,P0100,S003,1,2411.53,120.58,2411.53,2290.95,1646.83,1646.83,644.12,28.12,Cash,Store,Home Appliances,14795,,,,,Manual/source-system review required
T014806,2024-07-26 00:00:00.000000,C01441,P0475,S011,2,3458.66,0.0,6917.32,6917.32,2280.86,4561.72,2355.6,34.05,Mada,E-commerce,Sports,14806,,,,,Manual/source-system review required
T014965,2025-04-08 00:00:00.000000,C04234,P0001,S012,4,3580.72,1432.29,14322.88,12890.59,2582.62,10330.48,2560.11,19.86,Mada,Store,Home & Living,14965,,,,,Manual/source-system review required
T015316,2024-06-21 00:00:00.000000,C03159,P0108,S013,4,511.35,0.0,2045.4,2045.4,370.23,1480.92,564.48,27.6,Card,Store,Home & Living,15316,,,,,Manual/source-system review required
T015395,2024-11-27 00:00:00.000000,C02252,P0365,S007,1,3566.9,0.0,3566.9,3566.9,2427.38,2427.38,1139.52,31.95,Card,Store,Electronics,15395,,,,,Manual/source-system review required
T015623,2024-10-27 00:00:00.000000,C04014,P0478,S016,1,2425.78,242.58,2425.78,2183.2,1787.27,1787.27,395.93,18.14,Apple Pay,E-commerce,Fashion,15623,,,,,Manual/source-system review required
T015636,2024-11-28 00:00:00.000000,C04495,P0232,S016,2,1790.17,0.0,3580.34,3580.34,1225.06,2450.12,1130.22,31.57,Cash,Store,Fashion,15636,,,,,Manual/source-system review required
T015867,2025-12-24 00:00:00.000000,C03059,P0269,S018,1,197.64,0.0,197.64,197.64,129.46,129.46,68.18,34.5,Card,E-commerce,Electronics,15867,,,,,Manual/source-system review required
T016265,2024-07-29 00:00:00.000000,C04866,P0003,S015,5,84.87,42.44,424.35,381.91,67.58,337.9,44.01,11.52,Apple Pay,Store,Grocery,16265,,,,,Manual/source-system review required
T016399,2024-12-14 00:00:00.000000,C04826,P0195,S011,3,1341.95,0.0,4025.85,4025.85,1135.82,3407.46,618.39,15.36,Cash,Store,Fashion,16399,,,,,Manual/source-system review required
T016436,2024-03-20 00:00:00.000000,C03932,P0336,S011,5,2703.52,1351.76,13517.6,12165.84,1876.44,9382.2,2783.64,22.88,Mada,E-commerce,Home & Living,16436,,,,,Manual/source-system review required
T016469,2025-03-09 00:00:00.000000,C03892,P0299,S007,3,1713.35,514.0,5140.05,4626.05,1365.13,4095.39,530.66,11.47,Mada,E-commerce,Electronics,16469,,,,,Manual/source-system review required
T016529,2024-05-15 00:00:00.000000,C03924,P0028,S020,2,4807.78,961.56,9615.56,8654.0,2915.91,5831.82,2822.18,32.61,Card,Store,Home & Living,16529,,,,,Manual/source-system review required
T016579,2025-04-07 00:00:00.000000,C02586,P0108,S019,4,541.79,108.36,2167.16,2058.8,370.23,1480.92,577.88,28.07,STC Pay,Store,Home & Living,16579,,,,,Manual/source-system review required
T016606,2024-05-23 00:00:00.000000,C01037,P0420,S015,3,777.56,233.27,2332.68,2099.41,541.02,1623.06,476.35,22.69,Cash,Store,Sports,16606,,,,,Manual/source-system review required
T016623,2025-06-03 00:00:00.000000,C04276,P0489,S009,1,516.9,0.0,516.9,516.9,372.64,372.64,144.26,27.91,Mada,Store,Home Appliances,16623,,,,,Manual/source-system review required
T016734,2025-07-03 00:00:00.000000,C03367,P0067,S013,1,532.76,0.0,532.76,532.76,398.64,398.64,134.12,25.17,Apple Pay,E-commerce,Home Appliances,16734,,,,,Manual/source-system review required
T016899,2024-10-13 00:00:00.000000,C01958,P0205,S017,3,641.72,0.0,1925.16,1925.16,463.01,1389.03,536.13,27.85,Mada,E-commerce,Home Appliances,16899,,,,,Manual/source-system review required
T016927,2024-10-02 00:00:00.000000,C04619,P0012,S019,4,3110.75,1244.3,12443.0,11198.7,2139.8,8559.2,2639.5,23.57,STC Pay,Store,Beauty,16927,,,,,Manual/source-system review required
T016952,2025-11-25 00:00:00.000000,C02273,P0234,S010,4,1032.71,0.0,4130.84,4130.84,751.14,3004.56,1126.28,27.27,Mada,Store,Home & Living,16952,,,,,Manual/source-system review required
T017065,2024-11-22 00:00:00.000000,C00915,P0138,S016,4,4015.6,0.0,16062.4,16062.4,2940.5,11762.0,4300.4,26.77,Cash,Store,Home & Living,17065,,,,,Manual/source-system review required
T017204,2025-06-08 00:00:00.000000,C04003,P0252,S011,1,2339.92,117.0,2339.92,2222.92,1690.82,1690.82,532.1,23.94,Mada,Store,Grocery,17204,,,,,Manual/source-system review required
T017214,2024-02-17 00:00:00.000000,C03123,P0072,S009,3,2720.68,408.1,8162.04,7753.94,2094.0,6282.0,1471.94,18.98,Apple Pay,Store,Home & Living,17214,,,,,Manual/source-system review required
T017312,2025-10-01 00:00:00.000000,C02802,P0204,S010,1,85.1,4.26,85.1,80.84,59.02,59.02,21.82,26.99,Card,E-commerce,Beauty,17312,,,,,Manual/source-system review required
T017568,2024-12-03 00:00:00.000000,C04137,P0243,S008,2,1519.3,151.93,3038.6,2886.67,957.5,1915.0,971.67,33.66,Card,Store,Electronics,17568,,,,,Manual/source-system review required
T017793,2024-10-27 00:00:00.000000,C02339,P0369,S010,3,846.71,254.01,2540.13,2286.12,697.26,2091.78,194.34,8.5,Cash,Store,Grocery,17793,,,,,Manual/source-system review required
T018821,2024-03-17 00:00:00.000000,C04021,P0373,S006,3,2487.35,746.2,7462.05,6715.85,1748.91,5246.73,1469.12,21.88,Card,Store,Home Appliances,18821,,,,,Manual/source-system review required
T018907,2024-05-06 00:00:00.000000,C04668,P0382,S014,2,2140.72,0.0,4281.44,4281.44,1710.59,3421.18,860.26,20.09,Mada,E-commerce,Home Appliances,18907,,,,,Manual/source-system review required
T019072,2025-07-21 00:00:00.000000,C02651,P0189,S002,2,1980.3,792.12,3960.6,3168.48,1637.32,3274.64,-106.16,-3.35,Card,E-commerce,Grocery,19072,,,,,Manual/source-system review required
T019241,2025-05-09 00:00:00.000000,C00106,P0221,S006,2,1207.96,120.8,2415.92,2295.12,818.83,1637.66,657.46,28.65,Mada,E-commerce,Electronics,19241,,,,,Manual/source-system review required
T019492,2025-05-27 00:00:00.000000,C04592,P0361,S006,3,2357.82,0.0,7073.46,7073.46,1960.67,5882.01,1191.45,16.84,Apple Pay,Store,Sports,19492,,,,,Manual/source-system review required
T019738,2024-07-18 00:00:00.000000,C03885,P0293,S015,3,2472.22,370.83,7416.66,7045.83,2130.35,6391.05,654.78,9.29,Mada,Store,Electronics,19738,,,,,Manual/source-system review required
T019844,2024-01-24 00:00:00.000000,C00582,P0311,S003,3,2298.21,344.73,6894.63,6549.9,1778.99,5336.97,1212.93,18.52,Apple Pay,Store,Home & Living,19844,,,,,Manual/source-system review required
T019859,2024-06-16 00:00:00.000000,C00833,P0266,S016,5,4311.74,2155.87,21558.7,19402.83,2713.1,13565.5,5837.33,30.08,Apple Pay,Store,Sports,19859,,,,,Manual/source-system review required
T019971,2025-02-16 00:00:00.000000,C02505,P0311,S005,2,2450.99,0.0,4901.98,4901.98,1778.99,3557.98,1344.0,27.42,Mada,E-commerce,Home & Living,19971,,,,,Manual/source-system review required
T020206,2024-11-06 00:00:00.000000,C04130,P0091,S012,5,508.1,381.08,2540.5,2159.42,400.52,2002.6,156.82,7.26,Cash,Store,Grocery,20206,,,,,Manual/source-system review required
T020372,2025-08-10 00:00:00.000000,C01843,P0352,S009,4,3184.26,1273.7,12737.04,11463.34,2896.05,11584.2,-120.86,-1.05,Card,Store,Home & Living,20372,,,,,Manual/source-system review required
T020442,2024-12-02 00:00:00.000000,C04718,P0141,S008,2,3615.25,723.05,7230.5,6507.45,2692.43,5384.86,1122.59,17.25,Card,Store,Electronics,20442,,,,,Manual/source-system review required
