transaction_id,transaction_date,customer_id,product_id,store_id,quantity,unit_price,discount_amount,gross_sales,net_sales,unit_cost,cost_amount,profit_amount,gross_margin_pct,payment_method,sales_channel
T000025,2024-12-15,C00770,P0053,S006,5,2664.6,1998.45,13323.0,11324.55,2172.91,10864.55,460.0,4.06,Card,Store
T000026,2025-08-23,C04007,P0106,S012,6,2563.21,2306.89,15379.26,13072.37,2121.15,12726.9,345.47,2.64,Mada,E-commerce
T000027,2025-03-12,C01399,P0225,S011,2,2855.71,571.14,5711.42,5140.28,2102.56,4205.12,935.16,18.19,Mada,Store
T000028,2024-08-09,C04484,P0394,S013,1,1625.74,0.0,1625.74,1625.74,1224.87,1224.87,400.87,24.66,Card,E-commerce
T000029,2025-02-16,C00606,P0474,S017,6,3942.51,2365.51,23655.06,21289.55,2523.09,15138.54,6151.01,28.89,Mada,Store
T000030,2024-12-15,C04969,P0317,S014,4,1916.7,1533.36,7666.8,6133.44,1562.78,6251.12,-117.68,-1.92,Card,Store
T000031,2025-04-26,C02461,P0372,S019,4,2971.03,0.0,11884.12,11884.12,2445.02,9780.08,2104.04,17.7,Card,E-commerce
T000032,2025-08-23,C01531,P0165,S012,4,2565.95,1026.38,10263.8,9237.42,2138.64,8554.56,682.86,7.39,Card,Store
T000033,2024-02-28,C01921,P0248,S012,1,816.36,0.0,816.36,816.36,558.11,558.11,258.25,31.63,Card,Store
T000034,2024-05-31,C00481,P0180,S018,2,1629.84,325.97,3259.68,2933.71,1164.0,2328.0,605.71,20.65,Cash,Store
T000035,2025-06-23,C04411,P0002,S016,2,4482.47,896.49,8964.94,8068.45,2847.68,5695.36,2373.09,29.41,Cash,Store
T000036,2024-08-12,C02971,P0143,S002,2,2273.71,227.37,4547.42,4320.05,1655.17,3310.34,1009.71,23.37,Mada,Store
T000037,2024-11-13,C04910,P0424,S018,3,2406.75,0.0,7220.25,7220.25,1815.61,5446.83,1773.42,24.56,Card,Store
T000038,2025-07-16,C00707,P0498,S014,4,2224.9,444.98,8899.6,8454.62,1838.47,7353.88,1100.74,13.02,Mada,Store
T000039,2024-10-05,C02445,P0086,S012,1,453.55,45.36,453.55,408.19,301.44,301.44,106.75,26.15,Card,E-commerce
T000040,2025-07-11,C02646,P0109,S005,4,946.77,189.35,3787.08,3597.73,727.77,2911.08,686.65,19.09,Apple Pay,E-commerce
T000041,2025-04-18,C02615,P0129,S019,3,202.71,0.0,608.13,608.13,159.75,479.25,128.88,21.19,STC Pay,E-commerce
T000042,2025-09-09,C04324,P0159,S004,5,905.16,226.29,4525.8,4299.51,752.95,3764.75,534.76,12.44,STC Pay,Store
T000043,2024-01-24,C01858,P0017,S013,4,3309.61,0.0,13238.44,13238.44,2317.48,9269.92,3968.52,29.98,Cash,Store
T000044,2025-06-02,C03658,P0392,S015,4,2130.49,852.2,8521.96,7669.76,1649.16,6596.64,1073.12,13.99,Apple Pay,E-commerce
T000045,2025-01-02,C02856,P0438,S020,2,412.25,41.22,824.5,783.28,312.29,624.58,158.7,20.26,STC Pay,Store
T000046,2024-11-30,C02075,P0241,S013,1,1713.61,85.68,1713.61,1627.93,1389.85,1389.85,238.08,14.62,Mada,E-commerce
T000047,2025-03-08,C00453,P0108,S001,3,531.95,0.0,1595.85,1595.85,370.23,1110.69,485.16,30.4,Apple Pay,E-commerce
T000048,2024-01-03,C04836,P0049,S012,4,3122.77,624.55,12491.08,11866.53,1955.91,7823.64,4042.89,34.07,Mada,Store
T000049,2024-09-14,C00835,P0342,S001,1,1489.79,74.49,1489.79,1415.3,989.07,989.07,426.23,30.12,Mada,Store
T000050,2024-09-19,C03178,P0070,S008,4,2533.49,506.7,10133.96,9627.26,2149.49,8597.96,1029.3,10.69,STC Pay,E-commerce
T000051,2024-04-30,C04687,P0222,S006,1,3245.41,324.54,3245.41,2920.87,2585.98,2585.98,334.89,11.47,STC Pay,Store
T000052,2025-12-20,C02371,P0160,S009,1,2905.98,435.9,2905.98,2470.08,2530.1,2530.1,-60.02,-2.43,Mada,E-commerce
T000053,2024-01-21,C01558,P0228,S013,5,1693.57,0.0,8467.85,8467.85,1504.31,7521.55,946.3,11.18,Card,Store
T000054,2024-05-19,C02491,P0395,S015,3,89.58,0.0,268.74,268.74,67.15,201.45,67.29,25.04,Card,E-commerce
T000055,2025-04-21,C04970,P0301,S019,4,4221.13,1688.45,16884.52,15196.07,2606.8,10427.2,4768.87,31.38,Mada,Store
T000056,2024-10-15,C01443,P0398,S002,3,1539.98,461.99,4619.94,4157.95,1043.81,3131.43,1026.52,24.69,Mada,E-commerce
T000057,2024-07-24,C03803,P0339,S002,2,1546.99,0.0,3093.98,3093.98,1322.75,2645.5,448.48,14.5,Card,Store
T000058,2024-02-12,C01478,P0322,S014,1,4477.87,0.0,4477.87,4477.87,2806.9,2806.9,1670.97,37.32,Cash,Store
T000059,2024-04-27,C00797,P0389,S004,4,2880.81,0.0,11523.24,11523.24,2304.64,9218.56,2304.68,20.0,Apple Pay,Store
T000060,2024-01-05,C02539,P0308,S009,2,2879.87,575.97,5759.74,5183.77,1857.62,3715.24,1468.53,28.33,Card,E-commerce
T000061,2024-07-25,C00787,P0232,S020,4,1805.72,722.29,7222.88,6500.59,1225.06,4900.24,1600.35,24.62,Card,Store
T000062,2025-09-26,C01356,P0024,S012,1,2225.7,0.0,2225.7,2225.7,1950.12,1950.12,275.58,12.38,STC Pay,Store
T000063,2024-12-10,C00618,P0360,S015,1,2841.65,0.0,2841.65,2841.65,1809.82,1809.82,1031.83,36.31,Mada,Store
T000064,2024-05-21,C03852,P0035,S010,3,1262.44,378.73,3787.32,3408.59,975.92,2927.76,480.83,14.11,Card,Store
T000065,2025-01-06,C04184,P0167,S011,4,642.13,128.43,2568.52,2440.09,480.0,1920.0,520.09,21.31,Card,Store
T000066,2024-08-19,C04531,P0315,S019,4,1973.86,394.77,7895.44,7500.67,1721.3,6885.2,615.47,8.21,Cash,Store
T000067,2024-06-12,C00720,P0183,S018,4,4124.08,824.82,16496.32,15671.5,2683.8,10735.2,4936.3,31.5,Apple Pay,E-commerce
T000068,2025-06-30,C02538,P0084,S002,3,3624.61,0.0,10873.83,10873.83,2825.57,8476.71,2397.12,22.04,Mada,Store
T000069,2024-12-29,C04462,P0361,S003,1,2346.38,117.32,2346.38,2229.06,1960.67,1960.67,268.39,12.04,STC Pay,E-commerce
T000070,2024-11-30,C00909,P0284,S014,4,3005.1,0.0,12020.4,12020.4,2046.82,8187.28,3833.12,31.89,Mada,Store
T000071,2024-01-11,C03501,P0109,S012,1,1001.62,0.0,1001.62,1001.62,727.77,727.77,273.85,27.34,Card,Store
T000072,2025-02-11,C02825,P0344,S005,2,1498.05,299.61,2996.1,2696.49,1024.27,2048.54,647.95,24.03,Card,Store
T000073,2024-03-15,C04986,P0298,S005,3,1769.13,265.37,5307.39,5042.02,1348.79,4046.37,995.65,19.75,Card,Store
T000074,2024-10-26,C00738,P0056,S005,7,4235.85,0.0,29650.95,29650.95,2891.59,20241.13,9409.82,31.74,Mada,E-commerce
T000075,2025-01-15,C02950,P0130,S012,4,2297.0,0.0,9188.0,9188.0,1570.52,6282.08,2905.92,31.63,Cash,Store
T000076,2025-12-10,C03785,P0170,S016,3,523.92,78.59,1571.76,1493.17,433.7,1301.1,192.07,12.86,Mada,E-commerce
T000077,2025-09-25,C04850,P0004,S011,3,2773.81,416.07,8321.43,7905.36,1837.79,5513.37,2391.99,30.26,STC Pay,Store
T000078,2025-08-08,C04290,P0084,S012,1,3692.76,0.0,3692.76,3692.76,2825.57,2825.57,867.19,23.48,Card,Store
T000079,2024-01-28,C00238,P0046,S009,3,3651.53,1095.46,10954.59,9859.13,2921.52,8764.56,1094.57,11.1,Apple Pay,Store
T000080,2025-04-07,C00067,P0078,S003,4,2067.2,0.0,8268.8,8268.8,1485.02,5940.08,2328.72,28.16,Card,Store
T000081,2025-01-30,C04364,P0127,S020,1,901.76,0.0,901.76,901.76,738.43,738.43,163.33,18.11,Mada,Store
T000082,2025-11-13,C04670,P0038,S003,1,2327.02,0.0,2327.02,2327.02,1562.9,1562.9,764.12,32.84,Card,Store
T000083,2025-01-10,C02522,P0381,S018,3,3930.56,0.0,11791.68,11791.68,2581.06,7743.18,4048.5,34.33,Cash,E-commerce
T000084,2025-02-24,C00829,P0139,S001,1,829.16,41.46,829.16,787.7,735.63,735.63,52.07,6.61,STC Pay,Store
T000085,2024-12-29,C02550,P0032,S020,5,1089.83,272.46,5449.15,5176.69,741.32,3706.6,1470.09,28.4,Apple Pay,E-commerce
T000086,2024-08-03,C02604,P0364,S010,2,2958.87,0.0,5917.74,5917.74,1958.52,3917.04,2000.7,33.81,STC Pay,Store
T000087,2024-04-10,C03022,P0065,S009,3,176.65,53.0,529.95,476.95,127.11,381.33,95.62,20.05,Mada,Store
T000088,2024-04-02,C00171,P0480,S011,2,2836.0,283.6,5672.0,5388.4,2386.71,4773.42,614.98,11.41,Apple Pay,Store
T000089,2025-07-28,C02544,P0074,S008,2,4344.6,868.92,8689.2,7820.28,2865.5,5731.0,2089.28,26.72,Card,Store
T000090,2024-09-22,C02716,P0421,S008,4,2520.97,0.0,10083.88,10083.88,2005.59,8022.36,2061.52,20.44,Mada,Store
T000091,2024-07-24,C03435,P0292,S007,2,794.9,79.49,1589.8,1510.31,537.79,1075.58,434.73,28.78,Mada,E-commerce
T000092,2024-03-20,C04478,P0332,S002,4,3163.59,0.0,12654.36,12654.36,2211.34,8845.36,3809.0,30.1,Mada,Store
T000093,2024-02-06,C03264,P0389,S011,3,2839.48,425.92,8518.44,8092.52,2304.64,6913.92,1178.6,14.56,Apple Pay,Store
T000094,2024-01-11,C00146,P0283,S008,2,629.55,188.86,1259.1,1070.24,497.99,995.98,74.26,6.94,Mada,E-commerce
T000095,2025-09-18,C01992,P0340,S010,1,1578.56,78.93,1578.56,1499.63,1090.52,1090.52,409.11,27.28,Mada,E-commerce
T000096,2024-03-30,C03839,P0391,S008,1,361.41,0.0,361.41,361.41,305.23,305.23,56.18,15.54,Mada,E-commerce
T000097,2024-01-19,C03757,P0163,S019,2,3144.87,0.0,6289.74,6289.74,2012.56,4025.12,2264.62,36.0,Apple Pay,Store
T000098,2025-07-17,C03255,P0241,S009,1,1647.12,0.0,1647.12,1647.12,1389.85,1389.85,257.27,15.62,Card,Store
T000099,2025-01-08,C02865,P0051,S015,2,1840.23,0.0,3680.46,3680.46,1191.43,2382.86,1297.6,35.26,Card,E-commerce
T000100,2024-04-03,C04035,P0150,S020,5,3771.02,942.76,18855.1,17912.34,2687.72,13438.6,4473.74,24.98,Cash,Store
T000101,2024-02-01,C00248,P0311,S012,1,2394.72,119.74,2394.72,2274.98,1778.99,1778.99,495.99,21.8,Apple Pay,E-commerce
T000102,2025-10-24,C01411,P0133,S016,2,510.47,153.14,1020.94,867.8,426.39,852.78,15.02,1.73,Card,E-commerce
T000103,2024-05-19,C02097,P0194,S019,3,3881.31,1164.39,11643.93,10479.54,2769.05,8307.15,2172.39,20.73,Card,E-commerce
T000104,2025-07-23,C00125,P0366,S002,2,3381.92,338.19,6763.84,6425.65,2609.32,5218.64,1207.01,18.78,Mada,Store
T000105,2024-01-21,C04758,P0011,S018,5,732.43,366.22,3662.15,3295.93,612.17,3060.85,235.08,7.13,Apple Pay,Store
T000106,2024-05-28,C01582,P0386,S006,2,1946.87,0.0,3893.74,3893.74,1244.86,2489.72,1404.02,36.06,Cash,E-commerce
T000107,2024-08-08,C03317,P0070,S019,4,2621.39,0.0,10485.56,10485.56,2149.49,8597.96,1887.6,18.0,Card,E-commerce
T000108,2024-08-06,C02916,P0476,S004,1,1385.78,207.87,1385.78,1177.91,930.7,930.7,247.21,20.99,Card,Store
T000109,2025-06-24,C03104,P0176,S005,2,3596.36,359.64,7192.72,6833.08,2447.43,4894.86,1938.22,28.37,Mada,Store
T000110,2025-07-12,C00341,P0391,S008,4,354.36,0.0,1417.44,1417.44,305.23,1220.92,196.52,13.86,Card,E-commerce
T000111,2024-02-27,C01027,P0215,S006,3,3384.63,507.69,10153.89,9646.2,2168.02,6504.06,3142.14,32.57,Card,E-commerce
T000112,2025-02-28,C04909,P0024,S010,4,2172.04,434.41,8688.16,8253.75,1950.12,7800.48,453.27,5.49,Card,E-commerce
T000113,2024-10-01,C01710,P0225,S010,6,2715.52,814.66,16293.12,15478.46,2102.56,12615.36,2863.1,18.5,Cash,E-commerce
T000114,2024-05-19,C00866,P0406,S001,3,3434.85,1545.68,10304.55,8758.87,2923.01,8769.03,-10.16,-0.12,Cash,E-commerce
T000115,2024-01-23,C01632,P0465,S018,1,611.17,30.56,611.17,580.61,412.55,412.55,168.06,28.95,Mada,Store
T000116,2025-01-12,C04209,P0241,S017,3,1603.57,962.14,4810.71,3848.57,1389.85,4169.55,-320.98,-8.34,Mada,Store
T000117,2025-01-07,C03917,P0346,S006,5,198.83,198.83,994.15,795.32,129.28,646.4,148.92,18.72,Cash,Store
T000118,2024-03-03,C01236,P0367,S009,6,1461.92,1315.73,8771.52,7455.79,998.58,5991.48,1464.31,19.64,Cash,Store
T000119,2025-07-17,C02109,P0091,S018,1,496.96,0.0,496.96,496.96,400.52,400.52,96.44,19.41,Card,Store
T000120,2024-12-07,C03228,P0259,S003,2,2961.67,296.17,5923.34,5627.17,1889.97,3779.94,1847.23,32.83,Card,Store
T000121,2024-06-15,C02003,P0436,S008,5,3920.72,3920.72,19603.6,15682.88,2408.58,12042.9,3639.98,23.21,Card,E-commerce
T000122,2024-05-30,C04901,P0144,S010,6,1508.36,0.0,9050.16,9050.16,1105.52,6633.12,2417.04,26.71,Mada,Store
T000123,2025-06-06,C01147,P0383,S008,3,444.53,133.36,1333.59,1200.23,279.38,838.14,362.09,30.17,Cash,Store
T000124,2025-08-29,C03224,P0036,S016,2,2434.59,0.0,4869.18,4869.18,2039.14,4078.28,790.9,16.24,STC Pay,E-commerce
T000125,2025-08-06,C03284,P0161,S006,1,4737.78,236.89,4737.78,4500.89,2991.82,2991.82,1509.07,33.53,Mada,Store
T000126,2025-05-15,C01059,P0405,S006,2,1409.37,0.0,2818.74,2818.74,916.54,1833.08,985.66,34.97,Mada,Store
T000127,2025-07-13,C00075,P0196,S020,3,3831.66,1149.5,11494.98,10345.48,2778.19,8334.57,2010.91,19.44,Apple Pay,E-commerce
T000128,2024-12-13,C03958,P0220,S005,3,1552.28,465.68,4656.84,4191.16,1020.88,3062.64,1128.52,26.93,Mada,E-commerce
T000129,2024-09-28,C03666,P0074,S001,3,4146.49,0.0,12439.47,12439.47,2865.5,8596.5,3842.97,30.89,Mada,Store
T000130,2025-03-05,C03900,P0388,S008,2,3207.35,0.0,6414.7,6414.7,2471.39,4942.78,1471.92,22.95,Apple Pay,Store
T000131,2025-08-29,C01413,P0425,S008,3,737.47,0.0,2212.41,2212.41,591.51,1774.53,437.88,19.79,Apple Pay,Store
T000132,2024-08-20,C01588,P0118,S004,2,1466.13,293.23,2932.26,2639.03,942.39,1884.78,754.25,28.58,Apple Pay,E-commerce
T000133,2025-07-13,C02656,P0143,S013,2,2386.28,0.0,4772.56,4772.56,1655.17,3310.34,1462.22,30.64,Apple Pay,Store
T000134,2024-07-26,C01009,P0314,S009,2,1712.92,0.0,3425.84,3425.84,1451.91,2903.82,522.02,15.24,STC Pay,Store
T000135,2025-03-28,C01373,P0081,S020,3,2804.86,420.73,8414.58,7993.85,2058.21,6174.63,1819.22,22.76,Card,Store
T000136,2025-05-15,C02508,P0095,S017,2,3319.31,331.93,6638.62,6306.69,2718.04,5436.08,870.61,13.8,Card,Store
T000137,2025-08-11,C02146,P0213,S008,4,856.37,0.0,3425.48,3425.48,681.48,2725.92,699.56,20.42,Card,E-commerce
T000138,2024-08-06,C03092,P0397,S004,1,3333.78,166.69,3333.78,3167.09,2684.69,2684.69,482.4,15.23,STC Pay,Store
T000139,2024-03-21,C04247,P0475,S007,9,3352.61,4526.02,30173.49,25647.47,2280.86,20527.74,5119.73,19.96,Mada,Store
T000140,2025-07-02,C04091,P0244,S016,2,2976.18,297.62,5952.36,5654.74,2077.87,4155.74,1499.0,26.51,Card,E-commerce
T000141,2025-09-05,C02752,P0010,S015,3,2831.67,0.0,8495.01,8495.01,2410.55,7231.65,1263.36,14.87,Mada,Store
T000142,2025-12-03,C04146,P0423,S005,3,4527.42,679.11,13582.26,12903.15,2810.62,8431.86,4471.29,34.65,Card,Store
T000143,2025-06-24,C03639,P0214,S020,3,3017.79,0.0,9053.37,9053.37,2403.75,7211.25,1842.12,20.35,STC Pay,E-commerce
T000144,2024-09-07,C01997,P0012,S020,4,3104.1,0.0,12416.4,12416.4,2139.8,8559.2,3857.2,31.07,Card,Store
T000145,2025-08-28,C03544,P0159,S014,1,883.03,0.0,883.03,883.03,752.95,752.95,130.08,14.73,Apple Pay,Store
T000146,2025-02-18,C04357,P0355,S007,4,899.57,179.91,3598.28,3418.37,621.52,2486.08,932.29,27.27,Card,Store
T000147,2024-03-26,C00797,P0005,S002,4,815.16,163.03,3260.64,3097.61,563.06,2252.24,845.37,27.29,Cash,E-commerce
T000148,2025-09-13,C02998,P0267,S012,4,1868.48,373.7,7473.92,7100.22,1216.71,4866.84,2233.38,31.46,STC Pay,Store
T000149,2024-08-04,C00201,P0175,S010,5,3372.13,843.03,16860.65,16017.62,2256.5,11282.5,4735.12,29.56,Mada,Store
T000150,2024-07-14,C03911,P0481,S008,5,2243.71,0.0,11218.55,11218.55,1934.13,9670.65,1547.9,13.8,Mada,Store
T000151,2024-10-23,C04453,P0402,S017,3,2496.06,1497.64,7488.18,5990.54,1682.19,5046.57,943.97,15.76,Apple Pay,Store
T000152,2024-02-13,C03839,P0054,S005,4,823.01,0.0,3292.04,3292.04,547.79,2191.16,1100.88,33.44,Mada,Store
T000153,2025-01-27,C01557,P0367,S016,6,1466.52,0.0,8799.12,8799.12,998.58,5991.48,2807.64,31.91,Apple Pay,Store
T000154,2025-03-18,C00334,P0164,S019,2,1263.05,0.0,2526.1,2526.1,854.34,1708.68,817.42,32.36,Card,Store
T000155,2024-03-30,C00647,P0449,S012,3,1392.25,0.0,4176.75,4176.75,1072.69,3218.07,958.68,22.95,Cash,Store
T000156,2024-06-03,C03699,P0335,S008,2,1201.64,0.0,2403.28,2403.28,844.95,1689.9,713.38,29.68,Card,Store
T000157,2025-04-22,C01595,P0327,S009,2,1269.36,0.0,2538.72,2538.72,1023.95,2047.9,490.82,19.33,Card,E-commerce
T000158,2025-09-12,C02823,P0117,S015,3,1318.14,197.72,3954.42,3756.7,1093.83,3281.49,475.21,12.65,Card,Store
T000159,2024-02-28,C01113,P0445,S007,6,2230.87,0.0,13385.22,13385.22,1849.52,11097.12,2288.1,17.09,Apple Pay,Store
T000160,2024-04-19,C00736,P0248,S013,5,804.54,0.0,4022.7,4022.7,558.11,2790.55,1232.15,30.63,Card,Store
T000161,2025-04-23,C01822,P0224,S008,2,774.88,0.0,1549.76,1549.76,562.68,1125.36,424.4,27.38,Apple Pay,E-commerce
T000162,2025-09-09,C01345,P0164,S009,2,1262.96,252.59,2525.92,2273.33,854.34,1708.68,564.65,24.84,Mada,E-commerce
T000163,2025-08-16,C03905,P0011,S005,3,727.87,0.0,2183.61,2183.61,612.17,1836.51,347.1,15.9,Mada,Store
T000164,2024-02-18,C04893,P0078,S012,2,1952.17,780.87,3904.34,3123.47,1485.02,2970.04,153.43,4.91,Apple Pay,Store
T000165,2025-01-11,C02916,P0285,S003,3,4192.24,1257.67,12576.72,11319.05,2647.28,7941.84,3377.21,29.84,Mada,E-commerce
T000166,2024-02-01,C01428,P0119,S010,1,3809.08,0.0,3809.08,3809.08,2822.78,2822.78,986.3,25.89,Mada,Store
T000167,2025-04-30,C01964,P0292,S020,1,784.14,39.21,784.14,744.93,537.79,537.79,207.14,27.81,Card,Store
T000168,2025-08-23,C01510,P0133,S007,2,470.37,94.07,940.74,846.67,426.39,852.78,-6.11,-0.72,Card,Store
T000169,2025-06-14,C01800,P0061,S007,2,1156.14,115.61,2312.28,2196.67,903.6,1807.2,389.47,17.73,Card,E-commerce
T000170,2024-01-03,C00657,P0183,S003,4,3921.03,1568.41,15684.12,14115.71,2683.8,10735.2,3380.51,23.95,Cash,E-commerce
T000171,2025-01-12,C04542,P0383,S012,1,438.41,21.92,438.41,416.49,279.38,279.38,137.11,32.92,Apple Pay,E-commerce
T000172,2025-07-25,C04190,P0474,S004,4,3845.32,2307.19,15381.28,13074.09,2523.09,10092.36,2981.73,22.81,Card,E-commerce
T000173,2024-08-29,C02198,P0033,S017,3,1175.09,176.26,3525.27,3349.01,741.64,2224.92,1124.09,33.56,Mada,Store
T000174,2025-06-24,C02310,P0143,S014,5,2238.3,1119.15,11191.5,10072.35,1655.17,8275.85,1796.5,17.84,Mada,E-commerce
T000175,2025-08-09,C03331,P0098,S008,2,3590.22,0.0,7180.44,7180.44,2378.91,4757.82,2422.62,33.74,Cash,Store
T000176,2025-08-04,C01103,P0368,S019,5,1514.2,0.0,7571.0,7571.0,1177.9,5889.5,1681.5,22.21,Cash,E-commerce
T000177,2025-08-17,C01699,P0024,S005,3,2325.5,0.0,6976.5,6976.5,1950.12,5850.36,1126.14,16.14,Card,Store
T000178,2024-12-22,C04693,P0382,S017,3,2175.41,0.0,6526.23,6526.23,1710.59,5131.77,1394.46,21.37,Apple Pay,Store
T000179,2025-11-15,C03194,P0165,S018,2,2519.87,503.97,5039.74,4535.77,2138.64,4277.28,258.49,5.7,Mada,E-commerce
T000180,2024-07-15,C02572,P0377,S006,5,1732.71,0.0,8663.55,8663.55,1447.97,7239.85,1423.7,16.43,Mada,Store
T000181,2025-02-22,C03992,P0169,S005,2,3836.43,383.64,7672.86,7289.22,2970.08,5940.16,1349.06,18.51,Card,Store
T000182,2025-10-20,C03107,P0074,S017,3,4175.15,1252.54,12525.45,11272.91,2865.5,8596.5,2676.41,23.74,Apple Pay,E-commerce
T000183,2024-09-29,C04543,P0197,S018,3,636.32,190.9,1908.96,1718.06,513.25,1539.75,178.31,10.38,Card,Store
T000184,2025-05-16,C02966,P0385,S010,4,3446.57,1378.63,13786.28,12407.65,2654.94,10619.76,1787.89,14.41,Card,Store
T000185,2024-02-04,C04134,P0364,S015,5,2921.3,0.0,14606.5,14606.5,1958.52,9792.6,4813.9,32.96,Card,Store
T000186,2025-09-16,C03531,P0256,S008,2,1742.08,522.62,3484.16,2961.54,1264.17,2528.34,433.2,14.63,Card,E-commerce
T000187,2025-04-05,C01213,P0321,S005,2,175.0,35.0,350.0,315.0,114.13,228.26,86.74,27.54,Card,E-commerce
T000188,2025-12-18,C04528,P0106,S009,2,2645.31,793.59,5290.62,4497.03,2121.15,4242.3,254.73,5.66,Card,Store
T000189,2025-10-31,C02175,P0048,S016,1,100.09,15.01,100.09,85.08,73.86,73.86,11.22,13.19,Card,Store
T000190,2024-09-09,C03579,P0431,S002,2,1620.98,486.29,3241.96,2755.67,1360.36,2720.72,34.95,1.27,Card,E-commerce
T000191,2025-09-25,C01115,P0224,S010,3,748.94,337.02,2246.82,1909.8,562.68,1688.04,221.76,11.61,Card,Store
T000192,2025-05-26,C03872,P0350,S003,2,2078.02,0.0,4156.04,4156.04,1367.55,2735.1,1420.94,34.19,Cash,Store
T000193,2024-02-17,C00145,P0244,S014,3,2942.21,882.66,8826.63,7943.97,2077.87,6233.61,1710.36,21.53,STC Pay,E-commerce
T000194,2024-07-03,C00791,P0405,S020,2,1491.95,298.39,2983.9,2685.51,916.54,1833.08,852.43,31.74,Apple Pay,Store
T000195,2025-05-05,C01975,P0347,S014,2,3406.65,0.0,6813.3,6813.3,2349.74,4699.48,2113.82,31.02,Mada,Store
T000196,2024-09-29,C02179,P0189,S014,4,1966.75,786.7,7867.0,7080.3,1637.32,6549.28,531.02,7.5,Apple Pay,Store
T000197,2025-09-04,C02047,P0106,S018,4,2558.07,0.0,10232.28,10232.28,2121.15,8484.6,1747.68,17.08,Cash,Store
T000198,2025-06-10,C00844,P0461,S008,3,4326.28,0.0,12978.84,12978.84,2977.4,8932.2,4046.64,31.18,Apple Pay,Store
T000199,2024-05-07,C02299,P0332,S008,3,3320.75,0.0,9962.25,9962.25,2211.34,6634.02,3328.23,33.41,Mada,E-commerce
T000200,2024-07-28,C03933,P0477,S004,3,1707.29,0.0,5121.87,5121.87,1168.42,3505.26,1616.61,31.56,Card,E-commerce
